TS, DPE, VALUE
13-10-2017 01:36:18.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-6.2293832839751317E-002
13-10-2017 01:36:18.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-1.2458766567950263E-001
13-10-2017 01:36:18.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:36:18.77800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:36:19.78300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,8.0E+000
13-10-2017 01:36:19.78300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:36:19.78300000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:36:29.81200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.0E+000
13-10-2017 01:36:29.81200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:36:29.81200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:36:34.35600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:36:34.35600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-5.4507103734782403E-002
13-10-2017 01:36:34.35600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-1.0901420746956481E-001
13-10-2017 01:36:34.35600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,5.4507103734782403E-002
13-10-2017 01:36:34.35600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:36:35.36000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.0E+001
13-10-2017 01:36:35.36000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:36:35.36000000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:36:45.38900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:36:45.38900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.1E+001
13-10-2017 01:36:45.38900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:36:49.61100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-4.6720374629813488E-002
13-10-2017 01:36:49.61100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:36:49.61100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:36:49.61100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,4.6720374629813488E-002
13-10-2017 01:36:49.61100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-9.3440749259626976E-002
13-10-2017 01:36:50.61600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:36:50.61600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:36:50.61600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.2E+001
13-10-2017 01:37:00.64400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:37:00.64400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:37:00.64400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,1.3E+001
13-10-2017 01:37:05.16600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,-3.8933645524844573E-002
13-10-2017 01:37:05.16600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,-7.7867291049689147E-002
